rowId,0,1,2,4,label
0,5.479635318,6.004091247,6.348238346,6.018072557,0
2,5.135020258,5.317041376,5.451717907,5.212797305,0
12,5.880820353,5.92433782,6.118202332,5.352826876,0
53,5.424797075,5.809271973,5.887414251,5.468883035,0
86,6.164824724,6.268467156,6.371661706,5.449132816,0
99,5.115971185,5.432977388,5.556459719,5.386540826,0
102,5.178313607,5.730782214,5.945512227,5.759951106,0
121,5.110775983,5.129329166,5.369946465,5.099876328,0
139,5.44269166,5.685302151,5.820785572,5.349574303,0
151,5.8271366,6.137698899,6.088821035,5.290429582,0
160,5.084222728,5.121688001,5.348955952,5.126990648,0
162,5.524083156,5.678531151,5.758969242,5.207090986,0
165,5.668971565,5.686649835,5.853599263,5.230251254,0
191,5.620483014,5.616925169,5.816796999,5.229652849,0
198,5.674744011,6.094267797,5.879834125,5.197980346,0
199,5.741127147,5.675750052,5.900952314,5.227992204,0
201,5.259705104,5.546076575,5.558110766,5.152848031,0
213,5.929886149,5.989763956,5.958327958,5.116253721,0
228,6.035521921,6.075501376,6.183441438,5.341720598,0
238,5.351487004,5.493881236,5.625153081,5.221134887,0
242,5.774030092,5.953441631,6.219429547,5.594831484,0
244,6.140580448,6.156407023,6.244790788,5.285585081,0
254,5.173118405,5.467109296,5.527569889,5.267781824,0
255,5.255087147,5.446377932,5.500315365,5.157852871,0
260,6.331071185,6.230149023,6.256901675,5.148169594,0
268,5.167345959,5.478093953,5.454738414,5.102493275,0
271,5.067482633,5.162337147,5.319676097,5.088566765,0
275,5.47501736,5.70429147,5.810586332,5.300321871,0
284,5.928154415,5.875654862,5.952526555,5.13693161,0
315,5.869852705,6.049938237,6.033161152,5.259438516,0
328,5.19967166,5.406711258,5.809146913,5.630775853,0
336,5.764794177,5.7141522,5.884605372,5.176953148,0
343,5.4005528,5.46831724,5.67130545,5.236862338,0
344,5.554099878,5.71527527,5.842290289,5.271818909,0
375,5.328397218,5.709658204,5.906655773,5.553223745,0
384,5.202557883,5.258019313,5.44772671,5.122589939,0
406,5.26663204,5.495931911,5.578577456,5.220095552,0
410,5.108467004,5.357690522,5.496926695,5.201169929,0
414,5.161573512,5.367101166,5.62870703,5.411960143,0
427,6.033212942,6.118764447,6.040878574,5.103755938,0
431,5.335901398,5.428173904,5.638448909,5.263146335,0
432,5.414406671,5.705976933,6.029401697,5.606968506,0
438,5.513692752,5.828178992,5.871396993,5.39503302,0
469,5.141947194,5.607233329,5.817120562,5.663373163,0
470,5.233729094,5.275324027,5.461785098,5.077188485,0
471,5.237192562,5.625717695,5.659845188,5.386552279,0
534,5.93739033,6.055838215,6.148389039,5.321729872,0
538,5.255664391,5.5693087,5.791518835,5.566700735,0
549,5.449041351,5.699656876,5.751235204,5.300791433,0
555,5.313966101,5.626477268,6.214496518,6.016586567,0
560,5.129825056,5.208324735,5.376739546,5.097084727,0
561,5.130402301,5.35173482,5.373082406,5.071668273,0
580,5.259705104,5.622375061,5.969842438,5.768408941,0
589,5.070368857,5.280605887,5.656179303,5.555852144,0
595,5.750363061,6.010553617,6.020935707,5.357888979,0
603,5.520042443,5.721708491,5.806205985,5.294403677,0
619,5.162728002,5.426853654,5.78294878,5.604056652,0
621,5.337633132,5.761993283,5.762721701,5.40526889,0
622,5.245851232,5.693756899,5.753526382,5.506047119,0
627,5.078450282,5.339486495,5.581456295,5.411235759,0
637,5.230842871,5.359094789,5.445306981,5.097580057,0
642,5.387853417,5.599479857,5.891597837,5.548722825,0
654,5.091726909,5.187872852,5.41100315,5.247281451,0
659,6.00319622,6.158037618,6.038606635,5.117768343,0
670,5.342828334,5.518883698,5.5355654,5.086356389,0
672,5.322047527,5.433202002,5.58178598,5.247604991,0
679,5.200248904,5.335132239,5.430822714,5.114905163,0
703,5.505034082,5.562370525,5.649320636,5.112677608,0
709,5.146565151,5.232230703,5.483096551,5.274109453,0
716,5.426528809,5.537508662,5.636788242,5.126280579,0
721,5.180045341,5.389771756,5.652474941,5.400725023,0
728,5.501570614,5.840791672,5.928130757,5.488378432,0
730,5.253932657,5.62285258,5.818939512,5.592211674,0
742,5.604897408,5.884390807,6.069744793,5.536803404,0
743,5.287412847,5.327519365,5.535194614,5.172100057,0
757,5.348600781,5.480593857,5.709436073,5.361508039,0
766,5.417292895,5.798428772,6.155189989,5.846980341,0
768,5.64241831,5.917709132,6.034515746,5.488744919,0
777,5.811550995,5.674457235,5.857800339,5.118833446,0
780,5.531587337,5.650917337,5.71564499,5.152876663,0
804,5.489448477,5.53843541,5.674410783,5.138512086,0
812,5.532164581,5.465255802,5.66703354,5.126211863,0
817,5.277022443,5.366455615,5.674764954,5.389779084,0
