,,,,,,Data Mean,,,,,Data Standard Deviation.,,,,,,Normalize,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-2.629778263,-2.674276387,-1.550737925,-3.501426692,,,,,,,,,
,,,,,,,,,,,,,,,,,2.248188003,1.879222872,3.835187351,1.733047954,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6216,8.6661,-2.8073,-0.44699,0,,0.433735257,1.922353121,1.397627117,-1.19165652,,2.842762586,5.869046744,4.31003009,2.101013137,,,1.121396756,1.149036151,-0.97561433,0.35443211,,,,,,,,,
4.5459,8.1674,-2.4586,-1.4621,0,,,,,,,,,,,,,1.446538224,1.064064941,-0.894710022,-0.128720509,,,,,6.8248,12.9516,17.9274,2.4495,1
3.866,-2.6383,1.9242,0.10645,0,,,,,,,,,,,,,1.207369465,-0.777068802,0.12217383,0.617847883,,,,,-7.0421,-13.7731,-5.2861,-8.5482,0
3.4566,9.5228,-4.0112,-3.5944,0,,,,,,,,,,,,,1.063354625,1.295005341,-1.254939526,-1.143611831,,,,,,,,,
0.32924,-4.4552,4.5718,-0.9888,0,,,,,,,,,,,,,-0.036758348,-1.086642073,0.736461885,0.096551762,,,,,,,,,
4.3684,9.6718,-3.9606,-3.1625,0,,,,,,,,,,,,,1.384098961,1.320392769,-1.243199469,-0.938044339,,,,,,,,,
3.5912,3.0129,0.72888,0.56421,0,,,,,,,,,,,,,1.110702933,0.185813289,-0.155160661,0.835723722,,,,,,,,,
2.0922,-6.81,8.4636,-0.60216,0,,,,,,,,,,,,,0.583398962,-1.487865662,1.639425418,0.280577265,,,,,,,,,
3.2032,5.7588,-0.75345,-0.61251,0,,,,,,,,,,,,,0.974215981,0.653674616,-0.499086334,0.27565107,,,,,,,,,
1.5356,9.1772,-2.2718,-0.73535,0,,,,,,,,,,,,,0.387603505,1.236120139,-0.851369257,0.217184039,,,,,,,,,
1.2247,8.7779,-2.2135,-0.80647,0,,,,,,,,,,,,,0.278238059,1.168085241,-0.83784267,0.183333704,,,,,,,,,
3.9899,-2.7066,2.3946,0.86291,0,,,,,,,,,,,,,1.250953829,-0.788706126,0.231314599,0.977893229,,,,,,,,,
