rowId,11,12,19,20,26,27,35,42,43,51,label
139,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
150,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
190,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1068,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1478,16.0,16.0,16.0,16.0,15.0,16.0,15.0,16.0,16.0,16.0,1
1591,16.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,1
1602,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,1
1748,16.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,1
1813,16.0,16.0,16.0,14.0,14.0,16.0,16.0,15.0,16.0,16.0,1
2455,16.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,1
2566,16.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,1
2864,16.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,1
2945,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2965,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3406,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3671,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3741,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3743,16.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,1
3747,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3814,16.0,16.0,16.0,16.0,14.0,16.0,16.0,15.0,16.0,16.0,8
