rowId,0,2,4,label
1664,2.906855887,2.5984047,2.732249352,1
1667,2.625160495,2.297775919,2.266089203,1
1670,3.061557455,2.829912491,2.997004793,1
1682,3.099655602,2.71396402,2.435300309,1
1684,2.957653417,2.774160786,3.025464808,1
1699,3.050012562,2.844326799,2.937270258,1
1737,2.83527755,2.672895093,2.942011685,1
1767,2.971507289,2.699215656,2.814259432,1
1776,2.860676315,2.543801208,2.476779206,1
1782,2.883188856,2.708102278,3.067135537,1
1801,3.167770472,2.839869495,2.772296658,1
1807,2.901660685,2.625615499,2.587962232,1
1810,2.769471659,2.50671036,2.427249046,1
1822,3.133135792,2.67970304,2.278664292,1
1826,2.877993654,2.8304162,3.072366568,1
1828,3.037313179,2.771086934,2.819627896,1
1835,2.858944581,2.539461087,2.486619957,1
1846,2.91955527,2.679391719,2.764815168,1
1848,3.008450947,2.712214155,2.634743739,1
1855,2.946108524,2.754569465,2.918837101,1
1880,3.09561489,2.916649317,3.045899327,1
1897,3.065020923,2.896357526,2.995639056,1
1918,2.748113607,2.491640181,2.55834263,1
1930,2.990556362,2.75920604,2.889320573,1
1961,3.084069997,2.867112651,3.027872743,1
1966,2.596298262,2.399465742,2.636112339,1
1969,2.885497835,2.668976479,2.804899695,1
1970,2.97785698,2.816095464,3.080231725,1
1973,2.945531279,2.744257416,2.852978223,1
1984,3.140639973,2.98743972,3.157557642,1
1992,2.799488381,2.56068509,2.629993723,1
1996,3.112354985,2.852042471,2.847730013,1
2020,2.462954747,2.423185555,3.114000076,1
2024,2.802951849,2.596548147,2.670854172,1
2025,2.925327716,2.563772059,2.339306455,1
2038,3.000946766,2.637808589,2.524740343,1
2041,2.408693749,2.184488538,2.47414508,1
2050,3.175274652,2.950389098,2.944491199,1
2061,2.790252467,2.560060701,2.538689758,1
2076,3.180469854,2.994015925,3.122549533,1
2080,2.946685768,2.82502756,3.030690112,1
2084,3.066175412,2.827499758,2.816323785,1
2087,3.123322633,2.618581058,2.091292031,1
2090,2.525874414,2.409267961,2.940053269,1
2093,2.911473844,2.668646794,2.731630905,1
2095,2.357318975,2.386525834,3.173846276,1
2098,2.772357882,2.522229155,2.617060736,1
2104,2.787366244,2.434318756,2.463496911,1
2107,2.421393132,2.399558439,3.108877846,1
2110,3.092151422,2.932802996,3.073377271,1
2121,2.940336077,2.799517654,2.97590029,1
2126,2.923595982,2.650150342,2.627886422,1
2138,3.122168144,2.88567469,2.964061038,1
2160,3.073102348,2.798016146,2.818436813,1
2212,2.932831897,2.646612134,2.658949067,1
2213,3.16257527,2.846767515,2.638047849,1
2217,2.697893322,2.565890962,2.907192546,1
2226,2.921864248,2.546178961,2.389850181,1
2229,3.121013654,2.874190816,2.829565995,1
2256,2.924750472,2.62042362,2.579195173,1
2261,2.948994747,2.670899495,2.621066326,1
2263,2.749845341,2.501257007,2.651607872,1
2270,2.910319355,2.545265113,2.315699532,1
2282,2.744072894,2.511144052,2.635365049,1
2302,2.931677407,2.776247332,3.161454431,1
2310,2.679421493,2.458189857,2.680706376,1
2316,3.046549094,2.735168785,2.805249003,1
2328,2.976702491,2.777271366,2.909159551,1
2329,2.796602158,2.622210214,2.978714796,1
