rowId,12,19,20,27,28,36,44,52,53,60,label
69,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
78,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,1
353,16.0,16.0,14.0,14.0,16.0,16.0,16.0,16.0,14.0,16.0,1
402,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,14.0,1
417,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,1
459,16.0,14.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,1
463,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,1
863,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,1
900,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
1109,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
1118,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,15.0,16.0,1
1199,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1200,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
1861,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
1992,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,15.0,1
2064,16.0,14.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2124,15.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,1
2126,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2138,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2211,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,1
2256,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,1
2351,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,1
2564,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
3071,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
3073,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3590,16.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,8
3709,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,1
