rowId,0,1,17,21,23,31,33,label
16,3.347936583,3.0,3.231130427,3.212295146,3.382639752,3.31756601,3.225627776,1
38,3.347936583,3.0,3.263379271,3.212661824,3.378468791,3.216782163,3.213499763,1
73,3.347936583,3.0,3.398695584,2.983989881,3.108835088,3.007386974,2.969081864,0
114,3.347936583,3.0,2.996470763,2.985437294,3.109195308,3.007386974,2.969081864,0
131,3.347936583,3.0,3.007280769,3.219339222,3.219043267,3.007386974,3.125315442,1
138,3.347936583,3.0,2.989505657,2.988583005,3.110768898,3.007679045,2.969124568,0
143,3.347936583,3.0,2.989304353,2.978219528,3.105687908,3.007153318,2.968953751,1
145,3.347936583,3.0,3.076891571,2.990879567,3.103659304,2.999442653,2.962868392,1
149,3.347936583,3.0,3.104168215,3.025270098,3.078424987,3.184401263,3.10609852,1
154,3.347936583,3.0,3.169249685,3.028357912,3.087051294,3.029759587,2.956804386,0
155,3.347936583,3.0,2.991418041,3.048640992,3.213431427,3.064944365,2.985907347,1
156,3.347936583,3.0,2.949848838,2.992249784,3.065570842,2.971287041,3.011722079,0
205,3.347936583,3.0,3.007280769,3.211040721,3.16459326,3.121917614,3.094675127,1
231,3.347936583,3.0,3.150910922,3.080098099,3.243405473,3.144874368,2.963530309,1
233,3.347936583,3.0,3.121862806,3.116302721,3.248770847,3.183525051,3.168638925,1
246,3.347936583,3.0,3.007280769,2.983989881,3.108835088,3.007386974,2.969081864,0
276,3.347936583,3.0,3.246107418,2.997074494,3.044564363,2.9545806,3.113849345,1
284,3.347936583,3.0,3.089754874,2.978586206,3.086539403,2.988928109,2.955267032,1
286,3.347936583,3.0,3.066101695,3.266061711,3.3863557,3.272820786,3.250887353,1
287,3.347936583,3.0,3.046394068,3.078573491,3.210303206,3.145439037,3.1293937,1
318,3.347936583,3.0,3.396360462,3.121436212,3.252486794,3.177897823,3.158923704,1
319,3.347936583,3.0,3.064491266,3.119988799,3.254761864,3.204709909,3.197507013,1
321,3.347936583,3.0,3.007280769,2.999274562,3.0750503,3.08834896,3.019814539,1
322,3.347936583,3.0,2.943044774,3.134540124,3.283636293,3.02810452,3.014519209,1
329,3.347936583,3.0,3.06251849,3.031059749,3.212881619,3.114245891,2.943032258,1
330,3.347936583,3.0,3.414175835,2.997672758,3.24329172,3.359526828,2.969081864,1
331,3.347936583,3.0,3.164317745,3.075524274,3.207004355,3.139792338,3.122240734,1
333,3.347936583,3.0,3.050178576,3.076547113,3.213222879,3.128440525,3.181471559,1
334,3.347936583,3.0,3.022841541,2.996785011,3.148629853,3.048257395,3.028056463,1
335,3.347936583,3.0,3.074838273,3.165321772,3.248808765,3.203405327,3.184033815,1
341,3.347936583,3.0,3.122285544,3.090596668,3.227157683,3.165611384,3.153051866,1
347,3.347936583,3.0,3.01009902,3.146331714,3.300073673,3.006705476,3.069693128,1
348,3.347936583,3.0,3.04762202,3.132147068,3.225394503,3.015993323,2.956761682,1
