rowId,11,12,18,20,27,28,43,44,51,52,label
190,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1052,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1068,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1104,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1109,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1118,16.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,1
1137,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1174,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1298,16.0,16.0,14.0,14.0,16.0,16.0,15.0,14.0,14.0,16.0,8
1591,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1598,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,1
1602,16.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1646,16.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
1792,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,8
1854,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2008,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2347,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2359,16.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,8
2483,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2484,16.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,1
2566,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2704,16.0,15.0,16.0,14.0,16.0,15.0,16.0,16.0,16.0,16.0,1
2945,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,1
2965,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
3243,16.0,16.0,16.0,15.0,16.0,16.0,14.0,16.0,16.0,16.0,1
3294,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3305,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3314,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3450,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3651,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3699,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,1
3709,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3741,16.0,16.0,14.0,16.0,16.0,14.0,16.0,14.0,16.0,16.0,1
3747,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
