rowId,1,2,4,5,6,label
3,4.115284926,4.261404616,4.239719631,4.233826498,3.724685036,0
69,3.606956701,3.446414257,3.753554439,3.442030135,3.138610203,0
82,3.741799731,3.630833094,3.716988761,3.704836746,3.234472262,0
101,4.029267167,3.956426095,4.06528322,3.968768867,3.47330131,0
111,3.75095747,3.783126467,3.810004907,3.85115306,4.127527466,0
119,3.568976348,3.763161737,4.278913709,3.532070944,2.900720306,0
274,3.607182173,3.572864543,3.991195561,3.556832166,3.217884714,0
292,4.216304677,3.817984728,3.221377936,4.343000979,3.927458258,0
320,3.966172045,3.898537998,3.828838908,4.04924284,3.265157103,0
356,3.737276587,3.685505671,3.71600669,3.792063779,4.258155851,0
492,4.061854211,3.839861105,3.405987227,4.217506601,3.449814824,0
514,3.975947901,3.987740026,4.234903761,3.869723977,3.045038531,0
518,4.023704968,3.807657812,4.27297261,3.64293369,3.83055287,0
537,4.204506437,4.235482824,4.164947671,4.2563367,3.650093161,0
543,4.023704968,3.915121928,4.122409398,3.942882134,3.958928683,0
547,4.23835715,4.307905035,4.250568222,4.288413738,3.812136409,0
575,4.228131208,4.112212203,4.188374215,4.089761204,3.566163024,0
650,4.025418722,4.017379299,4.019844545,4.040801514,3.068739547,0
651,4.290271292,4.109753122,3.912080156,4.292915779,3.119290089,0
683,4.273303499,4.24555876,4.131499996,4.282223433,3.329639796,0
684,4.217765526,3.999809812,3.827009336,4.172486197,3.135380667,0
751,3.911279623,3.828350122,3.945536421,3.888857649,3.842160681,0
767,4.173548274,4.146117264,4.144063633,4.201186705,4.197783196,0
1011,4.148771284,3.927365738,3.925651632,3.993530089,3.037343977,0
1018,3.396995696,3.366621799,3.633598627,3.449908706,3.161413741,0
1086,3.648870373,3.599973026,3.80151844,3.618735222,3.153587999,0
1113,4.045700858,4.17459958,4.298578033,4.059372431,3.026271721,0
1157,3.728652092,3.773570856,3.728693443,3.89898724,3.874075601,0
1163,4.165402156,4.151758634,4.086754211,4.209628031,4.226807354,0
1168,3.688284142,3.665109815,3.372868818,3.941756624,3.693209981,0
1299,4.177340994,4.138214449,4.260408974,4.101016305,3.228326496,0
1329,4.067865638,4.146280795,4.216001044,4.081882633,4.014364043,0
1372,3.551699925,3.62240733,3.717939336,3.729035213,3.221102675,0
