rowId,label
91,1
139,1
171,1
180,1
190,1
287,1
425,1
433,1
434,1
653,1
677,1
702,1
778,1
783,1
799,1
814,1
816,1
864,1
907,1
1052,1
1054,1
1068,1
1075,1
1098,1
1104,1
1109,1
1137,1
1152,1
1172,1
1174,1
1199,1
1225,1
1254,1
1261,1
1267,1
1272,1
1283,1
1323,1
1588,1
1591,1
1602,1
1607,1
1638,1
1646,1
1704,1
1747,1
1748,1
1751,1
1792,8
1793,1
1854,1
1860,1
1861,1
1898,1
1917,1
1984,1
1998,1
2002,1
2008,1
2064,1
2081,1
2088,1
2256,1
2265,1
2277,1
2317,1
2333,1
2347,1
2348,1
2351,1
2352,1
2359,8
2367,1
2455,1
2483,1
2484,1
2506,1
2542,1
2564,1
2566,1
2600,1
2611,1
2625,1
2629,1
2654,1
2703,1
2704,1
2717,1
2751,1
2768,1
2792,1
2802,1
2847,1
2864,1
2949,1
2965,1
2973,1
3225,1
3226,1
3243,1
3267,1
3278,1
3294,1
3305,1
3314,1
3387,1
3395,1
3401,1
3406,1
3409,1
3450,1
3469,1
3543,1
3576,1
3651,1
3656,1
3665,1
3676,1
3699,1
3709,1
3710,1
3722,1
3723,1
3743,1
3747,1
3810,1
