rowId,0,1,2,label
663,0.048144978,-0.331766504,-0.036084926,0
664,0.048144978,-0.331766504,-0.036084926,0
665,0.048144978,-0.331766504,-0.036084926,0
666,0.048144978,-0.331766504,-0.036084926,0
667,0.048144978,-0.33177349,-0.036084926,0
698,-0.018958761,-0.206609893,-0.148599222,0
699,-0.018972832,-0.206601374,-0.148589941,0
700,-0.018972832,-0.206601374,-0.148589941,0
701,-0.018972832,-0.206601374,-0.148589941,0
702,-0.018972832,-0.206601374,-0.148589941,0
789,-0.225110342,1.243531905,-1.183756728,1
790,-0.225110342,1.243531905,-1.183756728,1
791,-0.225110342,1.243531905,-1.183756728,1
877,-0.42937995,1.302417107,-1.202851722,1
878,-0.429383468,1.302417107,-1.202851722,1
879,-0.429383468,1.302417107,-1.202851722,1
944,-0.609876908,1.42194248,-1.009419198,1
945,-0.609876908,1.42194248,-1.009419198,1
946,-0.609876908,1.42194248,-1.009419198,1
1175,-1.084028357,1.399724221,-0.633087719,1
1176,-1.084028357,1.399724221,-0.633087719,1
1177,-1.084028357,1.399724221,-0.633087719,1
