rowId,0,1,3,4,5,6,label
69,3.354220495,3.606956701,3.682721729,3.753554439,3.442030135,3.138610203,0
1018,3.442538928,3.396995696,3.711958021,3.633598627,3.449908706,3.161413741,0
1456,2.91955527,2.853300185,3.072071088,3.688150806,2.889967426,3.496416611,0
1634,3.470246671,3.273418519,3.719089669,3.685067161,3.39025667,3.310555049,1
1641,3.425221588,3.337103467,3.714831452,3.646757805,3.379001569,3.165277609,1
1660,3.153339355,3.130317064,3.497904739,3.625819366,3.118445978,3.102930963,1
1699,3.050012562,2.961145803,3.714498571,2.937270258,3.046976086,3.292307588,1
1712,2.783902776,2.637524075,2.913935195,3.693043982,2.737460806,3.227237637,1
1737,2.83527755,2.677471088,3.447406657,2.942011685,2.817372024,3.398827503,1
1758,3.016532372,2.981596829,3.35206681,3.487416082,3.040223025,3.155168427,1
1770,2.917246291,2.943447586,3.186506334,3.631960888,2.922044464,3.116384664,1
1774,2.716942396,2.633506741,2.986074551,3.519289008,2.721140909,3.636729748,1
1779,2.798911137,2.466049233,3.130028373,3.303147509,2.745339376,3.68169786,1
1786,3.222608714,3.166695971,3.725321205,3.352554552,3.256320967,3.481636369,1
1798,2.885497835,2.882852367,3.102333986,3.638365823,2.893343956,3.350855188,1
1807,2.901660685,2.860519555,3.734277042,2.587962232,2.972692419,3.310889192,1
1826,2.877993654,3.085846907,3.54999932,3.072366568,2.894469466,3.126381179,1
1831,2.896465483,3.040562309,3.17420837,3.588486355,2.877024059,3.133120377,1
1835,2.858944581,2.675392121,3.699022257,2.486619957,2.856764877,3.354851016,1
1839,3.004410234,2.796159907,3.257604438,3.543156481,2.98844956,3.518955458,1
1841,3.352488761,3.305696076,3.75445497,3.449977133,3.327228104,3.279869436,1
1847,2.77697584,2.882094509,2.972224029,3.720267102,2.826938859,3.419761228,1
1851,2.978434225,2.892376175,3.343676871,3.408168971,2.954121502,3.233520764,1
1864,2.880302633,2.923726984,3.246596721,3.422356031,2.898971507,3.108819755,1
1892,3.208754842,3.008733981,3.671841839,3.322264965,3.172470463,3.495137144,1
1921,2.785057265,2.728373609,3.077666156,3.437336191,2.778541925,3.422883499,1
1930,2.990556362,2.843776376,3.634339439,2.889320573,2.968753133,3.714535726,1
1950,3.235308096,3.058485141,3.566121423,3.455921096,3.189353115,3.325528986,1
1955,2.995751564,2.783631243,3.139970869,3.698449667,2.975506194,3.342967711,1
1959,3.104273559,3.030111754,3.302523431,3.653431879,3.08974547,3.21945048,1
1965,3.126208856,3.241027798,3.27787291,3.761777494,3.185976585,3.309193782,1
1969,2.885497835,2.8220051,3.582565756,2.804899695,2.910789363,3.380755217,1
1970,2.97785698,3.053737382,3.519925498,3.080231725,2.999141906,3.727017865,1
1983,3.074834082,2.928137822,3.279406827,3.609038265,3.026154149,3.429641989,1
1992,2.799488381,2.597773385,3.590807895,2.629993723,2.763910293,3.390622088,1
1999,2.912051089,3.001092816,3.26885316,3.558809489,2.976068949,3.113355768,1
2005,3.088110709,2.987805436,3.410438199,3.48321007,3.061044963,3.521728923,1
2024,2.802951849,2.752223851,3.60596198,2.670854172,2.88827916,3.55942074,1
2037,3.231844628,3.261563697,3.582923936,3.546165683,3.248442396,3.137775231,1
2062,2.611306624,2.83498385,2.954976787,3.485849922,2.650233772,2.884901365,1
2067,2.7596585,2.666093785,2.963061806,3.655736739,2.723391929,3.268642841,1
2070,2.648827526,2.571703578,2.890915792,3.500706966,2.662614383,3.499939391,1
2105,3.350179783,3.218048578,3.675930952,3.489992944,3.316535758,3.55137275,1
2106,2.857790091,2.932941305,2.982708456,3.754255918,2.840444981,3.546688572,1
