rowId,19,20,27,28,35,36,43,45,51,53,label
783,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,1
864,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,1
868,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,8
1075,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,1
1174,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,15.0,1
1261,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,15.0,1
1602,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,1
1861,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,1
1917,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
2064,14.0,16.0,14.0,16.0,16.0,16.0,14.0,15.0,16.0,16.0,1
2351,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,1
2352,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3294,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3305,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,1
3314,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3315,14.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,14.0,14.0,8
3387,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1
3395,16.0,16.0,16.0,16.0,15.0,16.0,16.0,15.0,16.0,14.0,1
3401,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,1
3469,16.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,16.0,14.0,1
3590,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,8
